A1 A2 A3 A4 A5 C1 C2 C3 C4 C5 P1 P2 P3 P4 P5 W1 W2 W3 W4 W5 Config3
00000|00000|10000|01111
00000|00000|01000|10111
00000|00000|00100|11011
00000|00000|00010|11101
00000|00000|00001|11110
00000|00000|11000|00111
00000|00000|10100|01011
00000|00000|10010|01101
00000|00000|10001|01110
00000|00000|01100|10011
00000|00000|01010|10101
00000|00000|01001|10110
00000|00000|00110|11001
00000|00000|00101|11010
00000|00000|00011|11100
00000|00000|01101|10010
00000|00000|01011|10100
00000|00000|00111|11000
00000|00000|11100|00011
00000|00000|11010|00101
00000|00000|11001|00110
00000|00000|10110|01001
00000|00000|10101|01010
00000|00000|10011|01100
00000|00000|01110|10001
00000|00000|11110|00001
00000|00000|11101|00010
00000|00000|11011|00100
00000|00000|10111|01000
00000|00000|01111|10000
