A1 A2 A3 A4 A5 C1 C2 C3 C4 C5 P1 P2 P3 P4 P5 W1 W2 W3 W4 W5 Config4
10000|00000|01000|00111
10000|00000|00100|01011
10000|00000|00010|01101
10000|00000|00001|01110
01000|00000|10000|00111
01000|00000|00100|10011
01000|00000|00010|10101
01000|00000|00001|10110
00100|00000|10000|01011
00100|00000|01000|10011
00100|00000|00010|11001
00100|00000|00001|11010
00010|00000|10000|01101
00010|00000|01000|10101
00010|00000|00100|11001
00010|00000|00001|11100
00001|00000|10000|01110
00001|00000|01000|10110
00001|00000|00100|11010
00001|00000|00010|11100
11000|00000|00100|00011
11000|00000|00010|00101
11000|00000|00001|00110
10100|00000|01000|00011
10100|00000|00010|01001
10100|00000|00001|01010
10010|00000|01000|00101
10010|00000|00100|01001
10010|00000|00001|01100
10001|00000|01000|00110
10001|00000|00100|01010
10001|00000|00010|01100
01100|00000|10000|00011
01100|00000|00010|10001
01100|00000|00001|10010
01010|00000|10000|00101
01010|00000|00100|10001
01010|00000|00001|10100
01001|00000|10000|00110
01001|00000|00100|10010
01001|00000|00010|10100
00110|00000|10000|01001
00110|00000|01000|10001
00110|00000|00001|11000
00101|00000|10000|01010
00101|00000|01000|10010
00101|00000|00010|11000
00011|00000|10000|01100
00011|00000|01000|10100
00011|00000|00100|11000

10000|00000|01100|00011
10000|00000|01010|00101
10000|00000|01001|00110
10000|00000|00110|01001
10000|00000|00101|01010
10000|00000|00011|01100
01000|00000|10100|00011
01000|00000|10010|00101
01000|00000|10001|00110
01000|00000|00110|10001
01000|00000|00101|10010
01000|00000|00011|10100
00100|00000|11000|00011
00100|00000|10010|01001
00100|00000|10001|01010
00100|00000|01010|10001
00100|00000|01001|10010
00100|00000|00011|11000
00010|00000|11000|00101
00010|00000|10100|01001
00010|00000|10001|01100
00010|00000|01100|10001
00010|00000|01001|10100
00010|00000|00101|11000
00001|00000|11000|00110
00001|00000|10100|01010
00001|00000|10010|01100
00001|00000|01100|10010
00001|00000|01010|10100
00001|00000|00110|11000
11100|00000|00010|00001
11100|00000|00001|00010
11010|00000|00100|00001
11010|00000|00001|00100
11001|00000|00100|00010
11001|00000|00010|00100
10110|00000|01000|00001
10110|00000|00001|01000
10101|00000|01000|00010
10101|00000|00010|01000
10011|00000|01000|00100
10011|00000|00100|01000
01110|00000|10000|00001
01110|00000|00001|10000
01101|00000|10000|00010
01101|00000|00010|10000
01011|00000|10000|00100
01011|00000|00100|10000
00111|00000|10000|01000
00111|00000|01000|10000

11000|00000|00110|00001
11000|00000|00101|00010
11000|00000|00011|00100
10100|00000|01010|00001
10100|00000|01001|00010
10100|00000|00011|01000
10010|00000|01100|00001
10010|00000|01001|00100
10010|00000|00101|01000
10001|00000|01100|00010
10001|00000|01010|00100
10001|00000|00110|01000
01100|00000|10010|00001
01100|00000|10001|00010
01100|00000|00011|10000
01010|00000|10100|00001
01010|00000|10001|00100
01010|00000|00101|10000
01001|00000|10100|00010
01001|00000|10010|00100
01001|00000|00110|10000
00110|00000|11000|00001
00110|00000|10001|01000
00110|00000|01001|10000
00101|00000|11000|00010
00101|00000|10010|01000
00101|00000|01010|10000
00011|00000|11000|00100
00011|00000|10100|01000
00011|00000|01100|10000

10000|00000|01110|00001
10000|00000|01101|00010
10000|00000|01011|00100
10000|00000|00111|01000
01000|00000|10110|00001
01000|00000|10101|00010
01000|00000|10011|00100
01000|00000|00111|10000
00100|00000|11010|00001
00100|00000|11001|00010
00100|00000|10011|01000
00100|00000|01011|10000
00010|00000|11100|00001
00010|00000|11001|00100
00010|00000|10101|01000
00010|00000|01101|10000
00001|00000|11100|00010
00001|00000|11010|00100
00001|00000|10110|01000
00001|00000|01110|10000
